Start Date,Event Category,Description,Event Type,Event Country,Event Province,Event Type V2,Headline,E Latitude,E Longitude
2/1/2022 12:00:00 AM,Government & Political,"In Kyiv, Ukraine, President Volodymyr Zelenskyi announced that Ukraine, Poland and the United Kingdom (UK) planned to establish a new format of trilateral political and security cooperation, Tass reported.
 Source link : https://tass.ru/mezhdunarodnaya-panorama/13581171",State Action,Ukraine,Kyiv,Statement,"Ukraine, Poland and the UK to establish a new format of trilateral cooperation",50.45,30.523
2/2/2022 12:00:00 AM,Government & Political,"In London, England province, United Kingdom, Prime Minister Alexander Boris de Pfeffel Johnson held talks with Russian President Vladimir Vladimirovich Putin to discuss the security situation in Ukraine. Johnson emphasised the UK’s commitment to Ukraine’s territorial integrity and stated that all countries including Ukraine had the right to aspire to North Atlantic Treaty Organization (NATO) membership, Government United Kingdom reported. Source link : https://www.gov.uk/government/news/pm-call-with-president-putin-of-russia-2-february-2022",State Action,United Kingdom,London,Statement,UK Prime Minister held talks with Russian President Putin to discuss the security situation in Ukraine,51.50722,-0.12759
2/1/2022 12:00:00 AM,Government & Political,"In Kyiv, Ukraine, the State Bureau of Investigations searched the house and the office of former Naftogaz CEO Andriy Kobolyev amid an investigation into illicit alienation of natural gas worth USD78 million, Biz reported.
 Source link : https://biz.nv.ua/markets/obyski-u-koboleva-gbr-provodit-obyski-u-eks-glavy-naftogaza-novosti-ukrainy-50213003.html",State Action,Ukraine,Kyiv,Operation,Authorities raid residence of former Naftogoz CEO in Ukraine’s Kyiv,50.45,30.523
2/3/2022 12:00:00 AM,Government & Political,"In Vienna, Austria, Chancellor Karl Nehammer reported on Russian authorities and state-owned gas firm Gazprom on conspiring to artificially inflate natural gas prices against the background of the Russia-Ukraine political and military confrontation, RBC reported. Source link : https://www.rbc.ru/rbcfreenews/61fbd8c79a794779e44348a5?from=newsfeed",State Action,Austria,Wien,Statement,Austria’s chancellor report on Russian authorities and state-owned gas firm Gazprom,48.2081743,16.3738189
2/3/2022 12:00:00 AM,Government & Political,"In Kyiv, Ukraine, Minister of Foreign Affairs Dmytro Kuleba ruled out that Ukraine would grant a special status or a veto power to territories held by Donetsk People's Republic (Donétskaya naródnaya respúblika: DPR) and Luhansk People's Republic (Luganskaya narodnaya respublika: LPR) militants, in the event of their re-accession to the country, Kommersant reported. Source link : https://www.kommersant.ru/doc/5194518?from=top_main_4",State Action,Ukraine,Kyiv,Statement,Ukraine's Minister of Foreign Affairs refuses to grant special status to separatist regions,50.45,30.523
2/4/2022 12:00:00 AM,Government & Political,"In Ankara, Turkey’s President Recep Tayyip Erdoğan stated that Ukraine’s President Volodymyr Zelenskyi had agreed to hold a Turkey-mediated bilateral meeting with Russia’s President Vladimir Putin. Russia has not yet responded to the proposal, HB World reported. Source link : https://nv.ua/world/geopolitics/erdogan-zayavil-chto-zelenskiy-soglasen-na-vstrechu-s-putinym-novosti-ukrainy-50213983.html",State Action,Turkey,Ankara,Statement,Turkey’s President states that Ukraine’s President agree to hold a bilateral meeting with Russia’s President,39.9333635,32.8597419
2/7/2022 12:00:00 AM,Government & Political,"In Moscow, Russia, French President Emmanuel Macron met Russian President Vladimir Putin to de-escalate the situation with Ukraine, Reuters reported.
 Source link :",State Action,Russian Federation,Moscow,Statement,French president meets Russian president to discuss the Ukraine situation,55.755826,37.6173
2/7/2022 12:00:00 AM,Government & Political,"In Moscow, Russia, French President Emmanuel Macron paid a visit to Russian President Vladimir Putin in an effort to find a solution to the Ukraine-Russia crisis. They agreed to continue talks after President Macron's visit to Ukraine on 8 February 2022, Edition reported. Source link : https://edition.cnn.com/2022/02/07/europe/ukraine-russia-news-monday-intl/index.html",State Action,Russian Federation,Moscow,Statement,French President meets Russian President to find diplomatic solution,55.756,37.617
2/8/2022 12:00:00 AM,Government & Political,"In Washington, United States, Security Adviser Jake Sullivan stated that the US did not rule out Russia’s possible attempts to annex the eastern Donbas territories of Ukraine, currently occupied by Donetsk People's Republic (DPR) and Luhansk People's Republic (LPR) militants, Vedomosti reported. Source link : https://www.vedomosti.ru/politics/news/2022/02/06/908060-ssha-dopustili",State Action,United States,District of Columbia,Statement,US Security Adviser warns about Russian attack on Ukraine,38.8899389,-77.0090505
2/8/2022 12:00:00 AM,Government & Political,"In Moscow, Russian Federation, after a bilateral meeting with France’s President Emmanuel Jean-Michel Frédéric Macron, President Vladimir Vladimirovich Putin publicly praised some of Macron’s ideas on the European security landscape, and proposed to hold more talks after Macron’s official visit to Ukraine, Reuters reported. Source link : https://www.reuters.com/world/europe/putin-says-some-macrons-ideas-could-form-basis-move-forward-2022-02-07/",State Action,Russian Federation,Moscow Oblast,Statement,Russian Federation President praises French President’s ideas on the European security landscape,55.755826,37.6173
